adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/A0WKbRIojF9DUWG4XLCmg5JK6I5.jpg,,33000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",http://www.sevenmovie.com/,807,tt0114369,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",25.772,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,"[{'id': 4286, 'logo_path': None, 'name': 'Juno Pix', 'origin_country': ''}, {'id': 12, 'logo_path': '/iaYpEp3LQmb8AfAtmTvpqd4149c.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 65394, 'logo_path': None, 'name': 'Cecchi Gori Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-09-22,327311859,127.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Seven deadly sins. Seven ways to die.,Se7en,False,8.3,11163
False,/c7e3nH3wtSBDrHRB63onrGptl6D.jpg,,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629,tt0114814,en,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",21.195,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,"[{'id': 9168, 'logo_path': '/hQNXrYIuyLRxMSBuGHk0GX7CCBS.png', 'name': 'Bad Hat Harry Productions', 'origin_country': 'US'}, {'id': 361, 'logo_path': None, 'name': 'Blue Parrot Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-07-19,23341568,106.0,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,False,8.2,5855
False,/6awFSncszExdpyJcPzMeuNj2MI6.jpg,,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,11448,tt0113819,en,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",9.591,/m0MZabFBNtMuFn3oNcq45M1Jws3.jpg,"[{'id': 1030, 'logo_path': '/bus7KzJshT0VMXuKR7dwK5bqPSO.png', 'name': 'Magnolia Pictures', 'origin_country': 'US'}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-09-13,6700000,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Mighty Aphrodite,False,6.8,273
False,/lSJpfQST3ruSgTqzbDFPgAyNYsO.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,11010,tt0110877,it,Il postino,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,6.149,/zqK1rE4gpDvEn612HeJF4EnoYCG.jpg,"[{'id': 108005, 'logo_path': None, 'name': 'Penta Film', 'origin_country': ''}, {'id': 119744, 'logo_path': None, 'name': 'Esterno Mediterraneo Film', 'origin_country': ''}, {'id': 8209, 'logo_path': None, 'name': 'Blue Dahlia Productions', 'origin_country': ''}, {'id': 119746, 'logo_path': None, 'name': 'K2 Two', 'origin_country': ''}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",1994-09-22,0,108.0,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Dreams do come true.,The Postman,False,7.9,490
False,/dSzM2GF3pSttyxAv4pi1xxFWQ9w.jpg,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,2054,tt0113862,en,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",6.537,/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,"[{'id': 915, 'logo_path': '/xXojkyRWFZ0JTJyjiu13ThKeFbz.png', 'name': 'Hollywood Pictures', 'origin_country': ''}, {'id': 916, 'logo_path': None, 'name': 'The Charlie Mopic Company', 'origin_country': ''}, {'id': 10201, 'logo_path': None, 'name': 'Interscope Communications', 'origin_country': ''}, {'id': 1382, 'logo_path': '/sOg7LGESPH5vCTOIdbMhLuypoLL.png', 'name': 'PolyGram Filmed Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-29,106269971,137.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",Mr. Holland's Opus,False,7.1,181
False,/8M1725YmmdYRnzj1E81rk0o68Pe.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,4482,tt0113149,fr,Gazon maudit,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",5.543,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,"[{'id': 1614, 'logo_path': None, 'name': 'Les Films Flam', 'origin_country': ''}, {'id': 82, 'logo_path': None, 'name': 'Renn Productions', 'origin_country': ''}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 356, 'logo_path': '/9tW5wZEGotn1Ei5pErA88m47XiD.png', 'name': 'TF1 Films Production', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1995-02-08,0,95.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,A scorned wife. An outrageous affair. The perfect revenge.,French Twist,False,6.2,135
False,/3kPTAFgx2BftDOexBe41k8kqSRD.jpg,"{'id': 10924, 'name': 'From Dusk Till Dawn Collection', 'poster_path': '/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg', 'backdrop_path': '/eTYPtks2Kk0mUWQycAVrohzAwv3.jpg'}",19000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",http://www.miramax.com/movie/from-dusk-till-dawn/,755,tt0116367,en,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",20.562,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,"[{'id': 11705, 'logo_path': None, 'name': 'Los Hooligans Productions', 'origin_country': ''}, {'id': 59, 'logo_path': '/yH7OMeSxhfP0AVM6iT0rsF3F4ZC.png', 'name': 'A Band Apart', 'origin_country': 'US'}, {'id': 7405, 'logo_path': '/rfnws0uY8rsNAsrLbx3gEIcYXx3.png', 'name': 'Dimension Films', 'origin_country': 'US'}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-01-19,25836616,108.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,False,7.0,3163
False,/jRLhcuyTPgcaCzrTKVTVrFDWrYo.jpg,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",,46785,tt0112445,fa,بادکنک سفید,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,3.346,/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg,"[{'id': 38953, 'logo_path': None, 'name': 'I.R.I.B. Channel 2', 'origin_country': ''}, {'id': 38954, 'logo_path': None, 'name': 'Ferdos Films', 'origin_country': ''}]","[{'iso_3166_1': 'IR', 'name': 'Iran'}]",1995-02-02,0,85.0,"[{'iso_639_1': 'fa', 'name': 'فارسی'}]",Released,,The White Balloon,False,7.7,38
False,/xheICnokTIzE3O774XWlmUPYdb2.jpg,,900000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,880,tt0112379,nl,Antonia,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",4.664,/7Yz6IXplDRtasBwRkdv0OguIV0B.jpg,"[{'id': 575, 'logo_path': None, 'name': 'Bergen Film', 'origin_country': ''}, {'id': 576, 'logo_path': None, 'name': 'Bard Entertainments', 'origin_country': ''}, {'id': 577, 'logo_path': None, 'name': 'NPS Televisie', 'origin_country': ''}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}]",1995-09-12,0,102.0,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,A motion picture that celebrates everything you love about life.,Antonia's Line,False,7.5,53
False,/afhweHfy44yWbAMWxZ6vg9hq8B9.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,8447,tt0112365,en,Angels and Insects,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",3.31,/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,"[{'id': 2492, 'logo_path': None, 'name': 'Playhouse International Pictures', 'origin_country': ''}, {'id': 798, 'logo_path': '/nQgX1MOLySgug7FDONdIkht3xob.png', 'name': 'Samuel Goldwyn Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-09-10,0,118.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,An elegant seduction. An erotic deception. A stunning revelation.,Angels and Insects,False,6.6,23
False,/op3mNFDlXLZBgLDyxTiM9fU1neo.jpg,"{'id': 256377, 'name': 'The Muppet Collection', 'poster_path': '/3O2tEgn8Z5atIVKif6W47qayIqb.jpg', 'backdrop_path': '/1AWd3MM90G47mxtD112gRDxSXY9.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",,10874,tt0117110,en,Muppet Treasure Island,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",8.931,/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 2504, 'logo_path': '/yxP3Gnk7sm7rACmDj0InTjXZw8R.png', 'name': 'Jim Henson Productions', 'origin_country': 'US'}, {'id': 6254, 'logo_path': '/dHfP8fUyykmTsMXbtXO0kSsYz5E.png', 'name': 'The Jim Henson Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-02-16,34327391,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Set sail for Muppet mayhem!,Muppet Treasure Island,False,6.4,173
False,/sAZAcvuJuBeUHMqF5RHnUrKRto2.jpg,,72000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,197,tt0112573,en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",16.738,/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg,"[{'id': 4564, 'logo_path': None, 'name': 'Icon Entertainment International', 'origin_country': 'GB'}, {'id': 7965, 'logo_path': None, 'name': 'The Ladd Company', 'origin_country': 'US'}, {'id': 11353, 'logo_path': None, 'name': 'B.H. Finance C.V.', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-05-24,210000000,178.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'gd', 'name': ''}]",Released,Every man dies. Not every man truly lives.,Braveheart,False,7.9,5689
False,/hjmJKAVoZ3n2KWbKgasbfdugwhu.jpg,,1300000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,103,tt0075314,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",26.117,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"[{'id': 46059, 'logo_path': None, 'name': 'Italo/Judeo Productions', 'origin_country': ''}, {'id': 46060, 'logo_path': None, 'name': 'Bill/Phillips', 'origin_country': ''}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1976-02-07,28262574,114.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,False,8.2,5530
