user_id,age,sex,occupation,zip_code
110,111,57,M,engineer,90630
111,112,30,M,salesman,60613
112,113,47,M,executive,95032
113,114,27,M,programmer,75013
114,115,31,M,engineer,17110
115,116,40,M,healthcare,97232
116,117,20,M,student,16125
117,118,21,M,administrator,90210
118,119,32,M,programmer,67401
119,120,47,F,other,06260
120,121,54,M,librarian,99603
121,122,32,F,writer,22206
122,123,48,F,artist,20008
123,124,34,M,student,60615
124,125,30,M,lawyer,22202
125,126,28,F,lawyer,20015
126,127,33,M,none,73439
127,128,24,F,marketing,20009
128,129,36,F,marketing,07039
129,130,20,M,none,60115
130,131,59,F,administrator,15237
131,132,24,M,other,94612
132,133,53,M,engineer,78602
133,134,31,M,programmer,80236
134,135,23,M,student,38401
135,136,51,M,other,97365
136,137,50,M,educator,84408
137,138,46,M,doctor,53211
138,139,20,M,student,08904
139,140,30,F,student,32250
140,141,49,M,programmer,36117
141,142,13,M,other,48118
142,143,42,M,technician,08832
143,144,53,M,programmer,20910
144,145,31,M,entertainment,V3N4P
145,146,45,M,artist,83814
146,147,40,F,librarian,02143
147,148,33,M,engineer,97006
148,149,35,F,marketing,17325
149,150,20,F,artist,02139
150,151,38,F,administrator,48103
151,152,33,F,educator,68767
152,153,25,M,student,60641
153,154,25,M,student,53703
154,155,32,F,other,11217
155,156,25,M,educator,08360
156,157,57,M,engineer,70808
157,158,50,M,educator,27606
158,159,23,F,student,55346
159,160,27,M,programmer,66215
160,161,50,M,lawyer,55104
161,162,25,M,artist,15610
162,163,49,M,administrator,97212
163,164,47,M,healthcare,80123
164,165,20,F,other,53715
165,166,47,M,educator,55113
166,167,37,M,other,L9G2B
167,168,48,M,other,80127
168,169,52,F,other,53705
169,170,53,F,healthcare,30067
170,171,48,F,educator,78750
171,172,55,M,marketing,22207
172,173,56,M,other,22306
173,174,30,F,administrator,52302
174,175,26,F,scientist,21911
175,176,28,M,scientist,07030
176,177,20,M,programmer,19104
177,178,26,M,other,49512
178,179,15,M,entertainment,20755
179,180,22,F,administrator,60202
180,181,26,M,executive,21218
181,182,36,M,programmer,33884
182,183,33,M,scientist,27708
183,184,37,M,librarian,76013
184,185,53,F,librarian,97403
185,186,39,F,executive,00000
186,187,26,M,educator,16801
187,188,42,M,student,29440
188,189,32,M,artist,95014
189,190,30,M,administrator,95938
190,191,33,M,administrator,95161
191,192,42,M,educator,90840
192,193,29,M,student,49931
193,194,38,M,administrator,02154
194,195,42,M,scientist,93555
195,196,49,M,writer,55105
196,197,55,M,technician,75094
197,198,21,F,student,55414
198,199,30,M,writer,17604
199,200,40,M,programmer,93402
200,201,27,M,writer,E2A4H
201,202,41,F,educator,60201
202,203,25,F,student,32301
203,204,52,F,librarian,10960
204,205,47,M,lawyer,06371
205,206,14,F,student,53115
206,207,39,M,marketing,92037
207,208,43,M,engineer,01720
208,209,33,F,educator,85710
209,210,39,M,engineer,03060
210,211,66,M,salesman,32605
211,212,49,F,educator,61401
212,213,33,M,executive,55345
213,214,26,F,librarian,11231
214,215,35,M,programmer,63033
215,216,22,M,engineer,02215
216,217,22,M,other,11727
217,218,37,M,administrator,06513
218,219,32,M,programmer,43212
219,220,30,M,librarian,78205
220,221,19,M,student,20685
221,222,29,M,programmer,27502
222,223,19,F,student,47906
223,224,31,F,educator,43512
224,225,51,F,administrator,58202
225,226,28,M,student,92103
226,227,46,M,executive,60659
227,228,21,F,student,22003
228,229,29,F,librarian,22903
229,230,28,F,student,14476
230,231,48,M,librarian,01080
231,232,45,M,scientist,99709
232,233,38,M,engineer,98682
233,234,60,M,retired,94702
234,235,37,M,educator,22973
235,236,44,F,writer,53214
236,237,49,M,administrator,63146
237,238,42,F,administrator,44124
238,239,39,M,artist,95628
239,240,23,F,educator,20784
240,241,26,F,student,20001
241,242,33,M,educator,31404
242,243,33,M,educator,60201
243,244,28,M,technician,80525
244,245,22,M,student,55109
245,246,19,M,student,28734
246,247,28,M,engineer,20770
247,248,25,M,student,37235
248,249,25,M,student,84103
249,250,29,M,executive,95110
250,251,28,M,doctor,85032
251,252,42,M,engineer,07733
252,253,26,F,librarian,22903
253,254,44,M,educator,42647
254,255,23,M,entertainment,07029
255,256,35,F,none,39042
256,257,17,M,student,77005
257,258,19,F,student,77801
258,259,21,M,student,48823
259,260,40,F,artist,89801
260,261,28,M,administrator,85202
261,262,19,F,student,78264
262,263,41,M,programmer,55346
263,264,36,F,writer,90064
264,265,26,M,executive,84601
265,266,62,F,administrator,78756
266,267,23,M,engineer,83716
267,268,24,M,engineer,19422
268,269,31,F,librarian,43201
269,270,18,F,student,63119
270,271,51,M,engineer,22932
271,272,33,M,scientist,53706
272,273,50,F,other,10016
273,274,20,F,student,55414
274,275,38,M,engineer,92064
275,276,21,M,student,95064
276,277,35,F,administrator,55406
277,278,37,F,librarian,30033
278,279,33,M,programmer,85251
279,280,30,F,librarian,22903
280,281,15,F,student,06059
281,282,22,M,administrator,20057
282,283,28,M,programmer,55305
283,284,40,M,executive,92629
284,285,25,M,programmer,53713
285,286,27,M,student,15217
286,287,21,M,salesman,31211
287,288,34,M,marketing,23226
288,289,11,M,none,94619
289,290,40,M,engineer,93550
290,291,19,M,student,44106
291,292,35,F,programmer,94703
292,293,24,M,writer,60804
293,294,34,M,technician,92110
294,295,31,M,educator,50325
295,296,43,F,administrator,16803
296,297,29,F,educator,98103
297,298,44,M,executive,01581
298,299,29,M,doctor,63108
299,300,26,F,programmer,55106
300,301,24,M,student,55439
301,302,42,M,educator,77904
302,303,19,M,student,14853
303,304,22,F,student,71701
304,305,23,M,programmer,94086
305,306,45,M,other,73132
306,307,25,M,student,55454
307,308,60,M,retired,95076
308,309,40,M,scientist,70802
309,310,37,M,educator,91711
310,311,32,M,technician,73071
311,312,48,M,other,02110
312,313,41,M,marketing,60035
313,314,20,F,student,08043
314,315,31,M,educator,18301
315,316,43,F,other,77009
316,317,22,M,administrator,13210
317,318,65,M,retired,06518
318,319,38,M,programmer,22030
319,320,19,M,student,24060
320,321,49,F,educator,55413
321,322,20,M,student,50613
322,323,21,M,student,19149
323,324,21,F,student,02176
324,325,48,M,technician,02139
325,326,41,M,administrator,15235
326,327,22,M,student,11101
327,328,51,M,administrator,06779
328,329,48,M,educator,01720
329,330,35,F,educator,33884
330,331,33,M,entertainment,91344
331,332,20,M,student,40504
332,333,47,M,other,V0R2M
333,334,32,M,librarian,30002
334,335,45,M,executive,33775
335,336,23,M,salesman,42101
336,337,37,M,scientist,10522
337,338,39,F,librarian,59717
338,339,35,M,lawyer,37901
339,340,46,M,engineer,80123
340,341,17,F,student,44405
341,342,25,F,other,98006
342,343,43,M,engineer,30093
343,344,30,F,librarian,94117
344,345,28,F,librarian,94143
345,346,34,M,other,76059
346,347,18,M,student,90210
347,348,24,F,student,45660
348,349,68,M,retired,61455
349,350,32,M,student,97301
350,351,61,M,educator,49938
351,352,37,F,programmer,55105
352,353,25,M,scientist,28480
353,354,29,F,librarian,48197
354,355,25,M,student,60135
355,356,32,F,homemaker,92688
356,357,26,M,executive,98133
357,358,40,M,educator,10022
358,359,22,M,student,61801
359,360,51,M,other,98027
360,361,22,M,student,44074
361,362,35,F,homemaker,85233
362,363,20,M,student,87501
363,364,63,M,engineer,01810
364,365,29,M,lawyer,20009
365,366,20,F,student,50670
366,367,17,M,student,37411
367,368,18,M,student,92113
368,369,24,M,student,91335
369,370,52,M,writer,08534
370,371,36,M,engineer,99206
371,372,25,F,student,66046
372,373,24,F,other,55116
373,374,36,M,executive,78746
374,375,17,M,entertainment,37777
375,376,28,F,other,10010
376,377,22,M,student,18015
377,378,35,M,student,02859
378,379,44,M,programmer,98117
379,380,32,M,engineer,55117
380,381,33,M,artist,94608
381,382,45,M,engineer,01824
382,383,42,M,administrator,75204
383,384,52,M,programmer,45218
384,385,36,M,writer,10003
385,386,36,M,salesman,43221
386,387,33,M,entertainment,37412
387,388,31,M,other,36106
388,389,44,F,writer,83702
389,390,42,F,writer,85016
390,391,23,M,student,84604
391,392,52,M,writer,59801
392,393,19,M,student,83686
393,394,25,M,administrator,96819
394,395,43,M,other,44092
395,396,57,M,engineer,94551
396,397,17,M,student,27514
397,398,40,M,other,60008
398,399,25,M,other,92374
399,400,33,F,administrator,78213
400,401,46,F,healthcare,84107
401,402,30,M,engineer,95129
402,403,37,M,other,06811
403,404,29,F,programmer,55108
404,405,22,F,healthcare,10019
405,406,52,M,educator,93109
406,407,29,M,engineer,03261
407,408,23,M,student,61755
408,409,48,M,administrator,98225
409,410,30,F,artist,94025
410,411,34,M,educator,44691
411,412,25,M,educator,15222
412,413,55,M,educator,78212
413,414,24,M,programmer,38115
414,415,39,M,educator,85711
415,416,20,F,student,92626
416,417,27,F,other,48103
417,418,55,F,none,21206
418,419,37,M,lawyer,43215
419,420,53,M,educator,02140
420,421,38,F,programmer,55105
421,422,26,M,entertainment,94533
422,423,64,M,other,91606
423,424,36,F,marketing,55422
424,425,19,M,student,58644
425,426,55,M,educator,01602
426,427,51,M,doctor,85258
427,428,28,M,student,55414
428,429,27,M,student,29205
429,430,38,M,scientist,98199
430,431,24,M,marketing,92629
431,432,22,M,entertainment,50311
432,433,27,M,artist,11211
433,434,16,F,student,49705
434,435,24,M,engineer,60007
435,436,30,F,administrator,17345
436,437,27,F,other,20009
437,438,51,F,administrator,43204
438,439,23,F,administrator,20817
439,440,30,M,other,48076
440,441,50,M,technician,55013
441,442,22,M,student,85282
442,443,35,M,salesman,33308
443,444,51,F,lawyer,53202
444,445,21,M,writer,92653
445,446,57,M,educator,60201
446,447,30,M,administrator,55113
447,448,23,M,entertainment,10021
448,449,23,M,librarian,55021
449,450,35,F,educator,11758
450,451,16,M,student,48446
451,452,35,M,administrator,28018
452,453,18,M,student,06333
453,454,57,M,other,97330
454,455,48,M,administrator,83709
455,456,24,M,technician,31820
456,457,33,F,salesman,30011
457,458,47,M,technician,Y1A6B
458,459,22,M,student,29201
459,460,44,F,other,60630
460,461,15,M,student,98102
461,462,19,F,student,02918
462,463,48,F,healthcare,75218
463,464,60,M,writer,94583
464,465,32,M,other,05001
465,466,22,M,student,90804
466,467,29,M,engineer,91201
467,468,28,M,engineer,02341
468,469,60,M,educator,78628
469,470,24,M,programmer,10021
470,471,10,M,student,77459
471,472,24,M,student,87544
472,473,29,M,student,94708
473,474,51,M,executive,93711
474,475,30,M,programmer,75230
475,476,28,M,student,60440
476,477,23,F,student,02125
477,478,29,M,other,10019
478,479,30,M,educator,55409
479,480,57,M,retired,98257
480,481,73,M,retired,37771
481,482,18,F,student,40256
482,483,29,M,scientist,43212
483,484,27,M,student,21208
484,485,44,F,educator,95821
485,486,39,M,educator,93101
486,487,22,M,engineer,92121
487,488,48,M,technician,21012
488,489,55,M,other,45218
489,490,29,F,artist,V5A2B
490,491,43,F,writer,53711
491,492,57,M,educator,94618
492,493,22,M,engineer,60090
493,494,38,F,administrator,49428
494,495,29,M,engineer,03052
495,496,21,F,student,55414
496,497,20,M,student,50112
497,498,26,M,writer,55408
498,499,42,M,programmer,75006
499,500,28,M,administrator,94305
500,501,22,M,student,10025
501,502,22,M,student,23092
502,503,50,F,writer,27514
503,504,40,F,writer,92115
504,505,27,F,other,20657
505,506,46,M,programmer,03869
506,507,18,F,writer,28450
507,508,27,M,marketing,19382
508,509,23,M,administrator,10011
509,510,34,M,other,98038
510,511,22,M,student,21250
511,512,29,M,other,20090
512,513,43,M,administrator,26241
513,514,27,M,programmer,20707
514,515,53,M,marketing,49508
515,516,53,F,librarian,10021
516,517,24,M,student,55454
517,518,49,F,writer,99709
518,519,22,M,other,55320
519,520,62,M,healthcare,12603
520,521,19,M,student,02146
521,522,36,M,engineer,55443
522,523,50,F,administrator,04102
523,524,56,M,educator,02159
524,525,27,F,administrator,19711
525,526,30,M,marketing,97124
526,527,33,M,librarian,12180
527,528,18,M,student,55104
528,529,47,F,administrator,44224
529,530,29,M,engineer,94040
530,531,30,F,salesman,97408
531,532,20,M,student,92705
532,533,43,M,librarian,02324
533,534,20,M,student,05464
534,535,45,F,educator,80302
535,536,38,M,engineer,30078
536,537,36,M,engineer,22902
537,538,31,M,scientist,21010
538,539,53,F,administrator,80303
539,540,28,M,engineer,91201
540,541,19,F,student,84302
541,542,21,M,student,60515
542,543,33,M,scientist,95123
543,544,44,F,other,29464
544,545,27,M,technician,08052
545,546,36,M,executive,22911
546,547,50,M,educator,14534
547,548,51,M,writer,95468
548,549,42,M,scientist,45680
549,550,16,F,student,95453
550,551,25,M,programmer,55414
551,552,45,M,other,68147
552,553,58,M,educator,62901
553,554,32,M,scientist,62901
554,555,29,F,educator,23227
555,556,35,F,educator,30606
556,557,30,F,writer,11217
557,558,56,F,writer,63132
558,559,69,M,executive,10022
559,560,32,M,student,10003
560,561,23,M,engineer,60005
561,562,54,F,administrator,20879
562,563,39,F,librarian,32707
563,564,65,M,retired,94591
564,565,40,M,student,55422
565,566,20,M,student,14627
566,567,24,M,entertainment,10003
567,568,39,M,educator,01915
568,569,34,M,educator,91903
569,570,26,M,educator,14627
570,571,34,M,artist,01945
571,572,51,M,educator,20003
572,573,68,M,retired,48911
573,574,56,M,educator,53188
574,575,33,M,marketing,46032
575,576,48,M,executive,98281
576,577,36,F,student,77845
577,578,31,M,administrator,M7A1A
578,579,32,M,educator,48103
579,580,16,M,student,17961
580,581,37,M,other,94131
581,582,17,M,student,93003
582,583,44,M,engineer,29631
583,584,25,M,student,27511
584,585,69,M,librarian,98501
585,586,20,M,student,79508
586,587,26,M,other,14216
587,588,18,F,student,93063
588,589,21,M,lawyer,90034
589,590,50,M,educator,82435
590,591,57,F,librarian,92093
591,592,18,M,student,97520
592,593,31,F,educator,68767
593,594,46,M,educator,M4J2K
594,595,25,M,programmer,31909
595,596,20,M,artist,77073
596,597,23,M,other,84116
597,598,40,F,marketing,43085
598,599,22,F,student,R3T5K
599,600,34,M,programmer,02320
600,601,19,F,artist,99687
601,602,47,F,other,34656
602,603,21,M,programmer,47905
603,604,39,M,educator,11787
604,605,33,M,engineer,33716
605,606,28,M,programmer,63044
606,607,49,F,healthcare,02154
607,608,22,M,other,10003
608,609,13,F,student,55106
609,610,22,M,student,21227
610,611,46,M,librarian,77008
611,612,36,M,educator,79070
612,613,37,F,marketing,29678
613,614,54,M,educator,80227
614,615,38,M,educator,27705
615,616,55,M,scientist,50613
616,617,27,F,writer,11201
617,618,15,F,student,44212
618,619,17,M,student,44134
619,620,18,F,writer,81648
620,621,17,M,student,60402
621,622,25,M,programmer,14850
622,623,50,F,educator,60187
623,624,19,M,student,30067
624,625,27,M,programmer,20723
625,626,23,M,scientist,19807
626,627,24,M,engineer,08034
627,628,13,M,none,94306
628,629,46,F,other,44224
629,630,26,F,healthcare,55408
630,631,18,F,student,38866
631,632,18,M,student,55454
632,633,35,M,programmer,55414
633,634,39,M,engineer,T8H1N
634,635,22,M,other,23237
635,636,47,M,educator,48043
636,637,30,M,other,74101
637,638,45,M,engineer,01940
638,639,42,F,librarian,12065
639,640,20,M,student,61801
640,641,24,M,student,60626
641,642,18,F,student,95521
642,643,39,M,scientist,55122
643,644,51,M,retired,63645
644,645,27,M,programmer,53211
645,646,17,F,student,51250
646,647,40,M,educator,45810
647,648,43,M,engineer,91351
648,649,20,M,student,39762
649,650,42,M,engineer,83814
650,651,65,M,retired,02903
651,652,35,M,other,22911
652,653,31,M,executive,55105
653,654,27,F,student,78739
654,655,50,F,healthcare,60657
655,656,48,M,educator,10314
656,657,26,F,none,78704
657,658,33,M,programmer,92626
658,659,31,M,educator,54248
659,660,26,M,student,77380
660,661,28,M,programmer,98121
661,662,55,M,librarian,19102
662,663,26,M,other,19341
663,664,30,M,engineer,94115
664,665,25,M,administrator,55412
665,666,44,M,administrator,61820
666,667,35,M,librarian,01970
667,668,29,F,writer,10016
668,669,37,M,other,20009
669,670,30,M,technician,21114
670,671,21,M,programmer,91919
671,672,54,F,administrator,90095
672,673,51,M,educator,22906
673,674,13,F,student,55337
674,675,34,M,other,28814
675,676,30,M,programmer,32712
676,677,20,M,other,99835
677,678,50,M,educator,61462
678,679,20,F,student,54302
679,680,33,M,lawyer,90405
680,681,44,F,marketing,97208
681,682,23,M,programmer,55128
682,683,42,M,librarian,23509
683,684,28,M,student,55414
684,685,32,F,librarian,55409
685,686,32,M,educator,26506
686,687,31,F,healthcare,27713
687,688,37,F,administrator,60476
688,689,25,M,other,45439
689,690,35,M,salesman,63304
690,691,34,M,educator,60089
691,692,34,M,engineer,18053
692,693,43,F,healthcare,85210
693,694,60,M,programmer,06365
694,695,26,M,writer,38115
695,696,55,M,other,94920
696,697,25,M,other,77042
697,698,28,F,programmer,06906
698,699,44,M,other,96754
699,700,17,M,student,76309
700,701,51,F,librarian,56321
701,702,37,M,other,89104
702,703,26,M,educator,49512
703,704,51,F,librarian,91105
704,705,21,F,student,54494
705,706,23,M,student,55454
706,707,56,F,librarian,19146
707,708,26,F,homemaker,96349
708,709,21,M,other,N4T1A
709,710,19,M,student,92020
710,711,22,F,student,15203
711,712,22,F,student,54901
712,713,42,F,other,07204
713,714,26,M,engineer,55343
714,715,21,M,technician,91206
715,716,36,F,administrator,44265
716,717,24,M,technician,84105
717,718,42,M,technician,64118
718,719,37,F,other,V0R2H
719,720,49,F,administrator,16506
720,721,24,F,entertainment,11238
721,722,50,F,homemaker,17331
722,723,26,M,executive,94403
723,724,31,M,executive,40243
724,725,21,M,student,91711
725,726,25,F,administrator,80538
726,727,25,M,student,78741
727,728,58,M,executive,94306
728,729,19,M,student,56567
729,730,31,F,scientist,32114
730,731,41,F,educator,70403
731,732,28,F,other,98405
732,733,44,F,other,60630
733,734,25,F,other,63108
734,735,29,F,healthcare,85719
735,736,48,F,writer,94618
736,737,30,M,programmer,98072
737,738,35,M,technician,95403
738,739,35,M,technician,73162
739,740,25,F,educator,22206
740,741,25,M,writer,63108
741,742,35,M,student,29210
742,743,31,M,programmer,92660
743,744,35,M,marketing,47024
744,745,42,M,writer,55113
745,746,25,M,engineer,19047
746,747,19,M,other,93612
747,748,28,M,administrator,94720
748,749,33,M,other,80919
749,750,28,M,administrator,32303
750,751,24,F,other,90034
751,752,60,M,retired,21201
752,753,56,M,salesman,91206
753,754,59,F,librarian,62901
754,755,44,F,educator,97007
755,756,30,F,none,90247
756,757,26,M,student,55104
757,758,27,M,student,53706
758,759,20,F,student,68503
759,760,35,F,other,14211
760,761,17,M,student,97302
761,762,32,M,administrator,95050
762,763,27,M,scientist,02113
763,764,27,F,educator,62903
764,765,31,M,student,33066
765,766,42,M,other,10960
766,767,70,M,engineer,00000
767,768,29,M,administrator,12866
768,769,39,M,executive,06927
769,770,28,M,student,14216
770,771,26,M,student,15232
771,772,50,M,writer,27105
772,773,20,M,student,55414
773,774,30,M,student,80027
774,775,46,M,executive,90036
775,776,30,M,librarian,51157
776,777,63,M,programmer,01810
777,778,34,M,student,01960
778,779,31,M,student,K7L5J
779,780,49,M,programmer,94560
780,781,20,M,student,48825
781,782,21,F,artist,33205
782,783,30,M,marketing,77081
783,784,47,M,administrator,91040
784,785,32,M,engineer,23322
785,786,36,F,engineer,01754
786,787,18,F,student,98620
787,788,51,M,administrator,05779
788,789,29,M,other,55420
789,790,27,M,technician,80913
790,791,31,M,educator,20064
791,792,40,M,programmer,12205
792,793,22,M,student,85281
793,794,32,M,educator,57197
794,795,30,M,programmer,08610
795,796,32,F,writer,33755
796,797,44,F,other,62522
797,798,40,F,writer,64131
798,799,49,F,administrator,19716
799,800,25,M,programmer,55337
800,801,22,M,writer,92154
801,802,35,M,administrator,34105
802,803,70,M,administrator,78212
803,804,39,M,educator,61820
804,805,27,F,other,20009
805,806,27,M,marketing,11217
806,807,41,F,healthcare,93555
807,808,45,M,salesman,90016
808,809,50,F,marketing,30803
809,810,55,F,other,80526
810,811,40,F,educator,73013
811,812,22,M,technician,76234
812,813,14,F,student,02136
813,814,30,M,other,12345
814,815,32,M,other,28806
815,816,34,M,other,20755
816,817,19,M,student,60152
817,818,28,M,librarian,27514
818,819,59,M,administrator,40205
819,820,22,M,student,37725
820,821,37,M,engineer,77845
821,822,29,F,librarian,53144
822,823,27,M,artist,50322
823,824,31,M,other,15017
824,825,44,M,engineer,05452
825,826,28,M,artist,77048
826,827,23,F,engineer,80228
827,828,28,M,librarian,85282
828,829,48,M,writer,80209
829,830,46,M,programmer,53066
830,831,21,M,other,33765
831,832,24,M,technician,77042
832,833,34,M,writer,90019
833,834,26,M,other,64153
834,835,44,F,executive,11577
835,836,44,M,artist,10018
836,837,36,F,artist,55409
837,838,23,M,student,01375
838,839,38,F,entertainment,90814
839,840,39,M,artist,55406
840,841,45,M,doctor,47401
841,842,40,M,writer,93055
842,843,35,M,librarian,44212
843,844,22,M,engineer,95662
844,845,64,M,doctor,97405
845,846,27,M,lawyer,47130
846,847,29,M,student,55417
847,848,46,M,engineer,02146
848,849,15,F,student,25652
849,850,34,M,technician,78390
850,851,18,M,other,29646
851,852,46,M,administrator,94086
852,853,49,M,writer,40515
853,854,29,F,student,55408
854,855,53,M,librarian,04988
855,856,43,F,marketing,97215
856,857,35,F,administrator,V1G4L
857,858,63,M,educator,09645
858,859,18,F,other,06492
859,860,70,F,retired,48322
860,861,38,F,student,14085
861,862,25,M,executive,13820
862,863,17,M,student,60089
863,864,27,M,programmer,63021
864,865,25,M,artist,11231
865,866,45,M,other,60302
866,867,24,M,scientist,92507
867,868,21,M,programmer,55303
868,869,30,M,student,10025
869,870,22,M,student,65203
870,871,31,M,executive,44648
871,872,19,F,student,74078
872,873,48,F,administrator,33763
873,874,36,M,scientist,37076
874,875,24,F,student,35802
875,876,41,M,other,20902
876,877,30,M,other,77504
877,878,50,F,educator,98027
878,879,33,F,administrator,55337
879,880,13,M,student,83702
880,881,39,M,marketing,43017
881,882,35,M,engineer,40503
882,883,49,M,librarian,50266
883,884,44,M,engineer,55337
884,885,30,F,other,95316
885,886,20,M,student,61820
886,887,14,F,student,27249
887,888,41,M,scientist,17036
888,889,24,M,technician,78704
889,890,32,M,student,97301
890,891,51,F,administrator,03062
891,892,36,M,other,45243
892,893,25,M,student,95823
893,894,47,M,educator,74075
894,895,31,F,librarian,32301
895,896,28,M,writer,91505
896,897,30,M,other,33484
897,898,23,M,homemaker,61755
898,899,32,M,other,55116
899,900,60,M,retired,18505
900,901,38,M,executive,L1V3W
901,902,45,F,artist,97203
902,903,28,M,educator,20850
903,904,17,F,student,61073
904,905,27,M,other,30350
905,906,45,M,librarian,70124
906,907,25,F,other,80526
907,908,44,F,librarian,68504
908,909,50,F,educator,53171
909,910,28,M,healthcare,29301
910,911,37,F,writer,53210
911,912,51,M,other,06512
912,913,27,M,student,76201
913,914,44,F,other,08105
914,915,50,M,entertainment,60614
915,916,27,M,engineer,N2L5N
916,917,22,F,student,20006
917,918,40,M,scientist,70116
918,919,25,M,other,14216
919,920,30,F,artist,90008
920,921,20,F,student,98801
921,922,29,F,administrator,21114
922,923,21,M,student,E2E3R
923,924,29,M,other,11753
924,925,18,F,salesman,49036
925,926,49,M,entertainment,01701
926,927,23,M,programmer,55428
927,928,21,M,student,55408
928,929,44,M,scientist,53711
929,930,28,F,scientist,07310
930,931,60,M,educator,33556
931,932,58,M,educator,06437
932,933,28,M,student,48105
933,934,61,M,engineer,22902
934,935,42,M,doctor,66221
935,936,24,M,other,32789
936,937,48,M,educator,98072
937,938,38,F,technician,55038
938,939,26,F,student,33319
939,940,32,M,administrator,02215
940,941,20,M,student,97229
941,942,48,F,librarian,78209
942,943,22,M,student,77841
