story,title,score,user
14643467,Author of cURL denied entry to the USA,684,chx
13877156,"GitLab acquires Gitter, will open-source the code",948,marcinkuzminski
13810015,CIA malware and hacking tools,2699,randomname2
13498365,Things Every Hacker Once Knew,539,ingve
13389935,WhatsApp backdoor allows snooping on encrypted messages,1332,katpas
13588070,Oxford Deep NLP ? An advanced course on natural language processing,601,melqdusy
14939255,HTML5 Version of the Tron:Legacy Boardroom Scene,701,PleaseHelpMe
14839178,Verizon Throttles Netflix Subscribers in Test It Doesn't Inform Customers About,594,sharkweek
14011793,Why Japan?s Rail Workers Point at Things,959,Hooke
15774503,More Than a Million Pro-Repeal Net Neutrality Comments Were Likely Faked,766,sus_007
14702676,I'm not a Woman in Tech,876,triplesec
15297912,Snowflake macro photography (2013),517,runesoerensen
13382963,The Risk of Discovery,537,tyn
14154395,System76 is moving product design and manufacturing in house,617,b01t
15584456,"Google, Facebook, and Amazon have fundamentally transformed the web",712,staltz
13539552,Four Column ASCII,569,nishs
13887853,Animista: a collection of ready to use CSS animations,573,tilt
13317902,TensorKart: self-driving MarioKart with TensorFlow,631,pickle27
14942902,A checklist of marketing ideas for side projects,632,karlhughes
14973424,uBlock Origin Maintainer on Chrome vs. Firefox WebExtensions,776,nachtigall
14952787,Google Fires Employee Behind Controversial Diversity Memo,1697,QUFB
14947361,Show HN: Is the stock market going to crash?,813,truffle_pig
15200221,The Equifax breach may be the worst leak of personal info ever,559,mozumder
14539770,Chess.com stopped working on 32bit iPads because 2^31 games have been played,757,NewGier
13641301,Amazon Chime,573,runesoerensen
15280064,Equifax Suffered a Hack Almost Five Months Earlier Than the Date It Disclosed,560,QUFB
15228712,Daniel Kahneman ?I placed too much faith in underpowered studies?,819,skmurphy
13610146,RethinkDB versus PostgreSQL: my personal experience,822,williamstein
13326792,I've removed all ad network code from my blog,591,GordonS
14330932,Rejection Letter,522,cstross
15413709,"iOS 11's Misleading ""Off-Ish"" Setting for Radios Is Bad for User Security",543,panarky
15451060,The Depression Thing,841,darwhy
15310664,Uber London loses licence to operate,672,gadders
14094083,We?re dropping Google Ads,1477,alex_hirner
14238005,Ask HN: Who is hiring? (May 2017),589,whoishiring
13653819,TensorFlow 1.0 Released,647,plexicle
13679474,How I Ruined Office Productivity with a Face-Replacing Slack Bot,657,wjh_
14475884,"A hands-on introduction to video technology: image, video, codec and more",694,manorwar8
13904881,Immersive Linear Algebra ? textbook with fully interactive figures (2015),1015,sebg
15417019,AIM will shut down after 20 years,543,rbanffy
14744068,"Math education: It?s not about numbers, it?s about learning how to think",565,CarolineW
15110850,Doomsday planning for less crazy folk,575,mcone
14711621,Mental health is still an issue in the workplace,659,bcx
14023223,Tesla Passes Ford by Market Value,846,ayanai
13622301,Takeover.sh ? Wipe and reinstall a running Linux system via SSH without reboot,515,tambourine_man
14468471,Network Protocols,842,signa11
13442022,Amazon Web Services in Plain English (2015),655,apsec112
14931004,Martin Shkreli is found guilty of securities fraud,752,fmihaila
15203446,How Many Years of Life Does That House Cost?,616,sndean
15467854,Handmade Hero ? A complete game live-coded from scratch,536,tejohnso
15602538,Ask HN: Where can I find high-end stock images for a website?,600,tixocloud
13585104,What Vizio was doing behind the TV screen,888,Deinos
14581273,Georgia Tech's free math textbook collective,834,ColinWright
15232147,Washington Post integrates Talk ? Mozilla?s open-source commenting platform,565,mwheeler
15763013,?I thought I could ship at least 700 units to stay in business?,585,Impossible
14542938,How is GNU `yes` so fast?,872,ruleabidinguser
14930895,Arrest of WannaCry researcher sends chill through security community,664,rbanffy
15049171,Firefox Focus ? A new private browser for iOS and Android,684,happy-go-lucky
15480895,Severe flaw in WPA2 protocol leaves Wi-Fi traffic open to eavesdropping,550,tdrnd
13641949,Operating Systems: From 0 to 1,709,tuhdo
14592745,Euro MPs back end-to-end encryption for all citizens,776,jkaljundi
15281364,Gas Pump Skimmers,657,whalesalad
13918465,Beautiful Online SICP,762,Dangeranger
13810764,Why Facts Don't Change Our Minds,531,ryan_j_naughton
14452923,Kerbal Space Program Acquired by Take-Two Interactive,560,Impossible
14246249,Introducing Surface Laptop,514,uyoakaoma
13842130,SEC Rejects Rule Change for Bitcoin Exchange-Traded Fund [pdf],566,jrbedard
14266423,Something is wrong when the ?telephone app? on your phone becomes 3rd party,598,guy-brush
14486657,Ask HN: What language-agnostic programming books should I read?,927,robschia
15511285,Robert Scoble and Me,733,strangeloops85
13453189,I Had My Electronics Seized by U.S. Customs and Border Protection,951,stryk
15339983,React 16,914,markthethomas
14330547,Accidentally Stopping a Global Cyber Attack,1981,pradeepchhetri
14547393,"NumPy receives first ever funding, thanks to Moore Foundation",548,happy-go-lucky
14894653,Show HN: TensorFire,564,antimatter15
15667778,Simple React Patterns,625,kawera
14044517,Uber finds one allegedly stolen Waymo file on an employee?s personal device,512,folz
15694018,WebAssembly support now shipping in all major browsers,574,subir
13365430,"When You Are Depressed, Make Something",684,ohjeez
15050841,Explaining React's license,978,y4m4b4
14118290,Bob Taylor Has Died,841,my_first_acct
15787023,Norvig's Python programs to practice or demonstrate skills,937,federicoponzi
15185416,Optimizing web servers for high throughput and low latency,987,nuriaion
13939645,Loopy: a tool for thinking in systems,508,bpierre
14139186,"USA Facts ? Federal, state, and local data from government sources",1044,neuralFatigue
14297289,The tragedy of 100% code coverage (2016),534,tdurden
15058351,Ideal OS: Rebooting the Desktop Operating System,656,daureg
13989215,Explain Shell,775,aleem
14796381,"Google launches Hire, a new service for helping businesses recruit",529,tashoecraft
14959288,Linux Load Averages: Solving the Mystery,623,dmit
13419444,How much does employee turnover really cost?,541,craigkerstiens
13774006,AMD Zen and Ryzen 7 Review: A Deep Dive,590,jsheard
13537052,GitLab Database Incident ? Live Report,1162,sbuttgereit
13601451,The web sucks if you have a slow connection,1269,philbo
13601543,Fluid Paint Simulation,605,anonfunction
13846083,Build a digital clock in Conway's Life,712,ChuckMcM
15786703,Stanford CS007: Personal Finance For Engineers,1089,destraynor
14448404,"Goodbye PNaCl, Hello WebAssembly",655,Ajedi32
14884992,Ubershaders: A Ridiculous Solution to an Impossible Problem,772,voltagex_
15808124,Initial Release of Mozilla?s Open Source Speech Recognition Model and Voice Data,521,Vinnl
15624677,Freelancer.com has ruined my life,845,hohaa
13414570,The Problem with AMP,641,segf4ult
15629308,Earth on AWS ? Open geospatial data,663,thecodeboy
14452832,Fireflies,1243,bpierre
13500346,The Founder: A Dystopian Business Simulator,503,jmduke
13713953,Most scientists 'can't replicate studies by their peers',535,DanBC
13591561,YC Research: Universal Healthcare,576,craigcannon
13423629,"Show HN: Privacy-focused, ad-free, non-tracking torrent search engine",1183,kasumis_
15357584,"Three Paths in the Tech Industry: Founder, Executive, or Employee",927,craigcannon
15695326,Ask HN: What are some interesting papers in CS for a beginner?,534,avinassh
14301739,CPU Utilization is Wrong,624,dmit
13966054,Flex,632,mpweiher
15689399,Ask HN: Best way to get started with AI?,709,hackathonguy
14887414,Deep Learning for Coders ? Launching Deep Learning Part 2,716,jph00
14308189,CockroachDB 1.0,811,hepha1979
13478514,George Orwell?s 1984 is currently the top selling book on Amazon,830,finid
14280569,"Sorting Two Tons of Lego, the Software Side",514,jacquesm
14642193,How HTTPS Handshake Happens,557,sudhakarrayav
15676737,Inside a low-budget consumer hardware espionage implant,591,patadune
13718586,Alphabet's Waymo Alleges Uber Stole Self-Driving Secrets,907,coloneltcb
13512063,Sergey Brin joins protest against immigration order at SFO,685,_pius
13909365,They Used To Last 50 Years,1359,teslacar
15772065,Terrain rendering in fewer than 20 lines of code,793,blaze33
14310652,Beware of Transparent Pixels,567,tsemple
15492248,Show HN: Metaballs,673,winkerVSbecks
13642662,Show HN: A guide to all HTML5 elements and attributes,728,bbx
13673962,Pixar offers free online lessons in storytelling via Khan Academy,503,ehudla
15790687,Facebook users in Romania see content related to street protests reviewed,828,dcro
15897809,Exercism ? Level up your programming skills,787,moesart
13823704,An animated GIF that shows its own MD5,543,svenfaw
15786802,"Asking members to support journalism, The Guardian raises more revenue than ads",841,gk1
14635013,I decided to disable AMP on my site,665,akras14
15409376,A Pre-History of Slashdot,751,cmdrtaco
14350059,My Family?s Slave,1419,aaron695
14196077,Painting with Code: Introducing our new open source library React Sketch.app,787,pouwerkerk
14034426,Why Momentum Works,503,m_ke
14401399,Don't use Hadoop when your data isn't that big (2013),598,tosh
13920111,Fossjobs: A website for free and open-source software jobs,607,rendx
13543927,Introducing Lottie: Airbnb's tool for adding animations to native apps,643,dikaiosune
14960597,"The Internet Archive has digitized 25,000 78rpm Gramophone records",699,yurisagalov
14766889,Alibaba Cloud,520,paulmach
14219384,Just Say No,563,janvdberg
15644680,Waymo now testing its self-driving cars on public roads with no one at the wheel,1120,lemiant
14997941,Annual note to self: most of the world exists outside the tech bubble,596,chmaynard
15410953,If macOS High Sierra shows your password instead of the password hint,627,0x0
15328889,MacOS High Sierra,551,rbanffy
15775548,Ask HN: CS papers for software architecture and design?,525,avrmav
14055655,Machine learning without centralized training data,568,nealmueller
14686277,I found a bug in Intel Skylake processors,587,testcross
15625330,What is backpropagation and what is it doing? [video],645,adamnemecek
13999378,SES-10 Mission,1094,traviswingo
15714920,Security alerts on GitHub,697,stablemap
13976938,Tencent buys 5% of Tesla,606,jhartmann
13955981,Amazon's Tepid Response to Counterfeiters Frustrates Sellers,669,exolymph
14511627,"A subway-style diagram of the major Roman roads, based on the Empire ca. 125 AD",752,curtis
14574444,European leaders call for open access to all scientific papers by 2020 (2016),756,Tomte
13511348,Federal judge stays deportations of travelers in Trump immigration order,664,anarazel
15094639,Windy.com,580,davesque
14409269,Little Things I Like to Do with Git,656,csswizardry
15635144,"The sound of the dialup, pictured (2012)",675,bpierre
13509509,"Iranian MIT student goes home over break, denied return for spring semester",599,obi1kenobi
14996715,Time.gif,563,def-
15005031,An Intro to Compilers,687,luu
14469645,Visualize data instantly with machine learning in Google Sheets,508,pmcpinto
13890618,Enroute Airbus A380 wake flips Challenger business jet upside down,560,mustpax
14621347,"After 3072 hours of manipulating BGP, a Nyancat was drawn on this RIPE interface",776,job
15201152,Show HN: A coloring book of data structures and algorithms,523,frwntfwtr
13400291,The Line of Death,566,bpierre
14776357,"Maryam Mirzakhani, first woman and Iranian to win Fields Medal, has died",614,urahara
13915808,Distill: a modern machine learning journal,930,jasikpark
14458648,WebAssembly: Mozilla Won,626,nachtigall
14108849,Introducing Increment,574,sinak
13581375,RethinkDB joins the Linux Foundation: What Happens Next,733,mglukhovsky
14533116,"Hackers Are Hijacking Phone Numbers and Breaking into Email, Bank Accounts",650,CarolineW
14779881,Apache Foundation disallows use of the Facebook ?BSD+Patent? license,1277,thelarkinn
15332819,China Blocks WhatsApp,1174,GuiA
15642116,An Open Letter to Intel,996,varjag
13559581,Ventusky ? Weather data visualization,849,misotaur
14381264,Engineering management lessons (2014),517,mzehrer
15704376,Visual Studio Live Share,572,benaadams
14033129,Jupyter Notebook 5.0,588,sornars
14639908,Zillow forces McMansion Hell to delete posts,621,afreak
15631565,Does anyone remember websites?,895,dfps
14366825,Let them paste passwords,694,matthewbadeau
13742102,Prophet: forecasting at scale,520,benhamner
14865043,"Show HN: The JavaScript Way, a book for learning modern JavaScript from scratch",545,bpesquet
14280625,Why does Google prepend while(1); to their JSON responses?,598,vikas0380
14050049,An off-grid social network,1031,staltz
15686442,Don?t Tax Options and RSUs Upon Vesting,553,mooreds
14578380,Your own company? You can do it (2011),701,oliv__
13503161,Site Reliability Engineering,540,packetslave
13532992,How to start a startup without ruining your life,511,Adamola
13543233,The JVM is not that heavy,549,khy
15281455,Top medical experts say we should decriminalize all drugs (2016),687,anythingnonidin
14047310,Ride-hailing apps may help to curb drunk driving,509,petergatsby
13941923,Thousands of underground gas bubbles poised to 'explode' in Arctic,615,xg15
13426896,Ask HN: Are we overcomplicating software development?,639,ian0
15384262,Ask HN: Who is hiring? (October 2017),678,whoishiring
14013996,I?m a freelance copywriter,788,sigmundritz
14344034,AI Playbook,806,jbredeche
14701460,Making a virtual machine in Google Sheets,1074,signa11
13593272,Apple proposes new web 3D graphics API,576,mozumder
15591441,We only hire the best means we only hire the trendiest (2016),910,indy
15466599,Steve Wozniak announces tech education platform Woz U,578,_nh_
15368104,"Draggable JS ? a lightweight, responsive, modern drag-and-drop library",633,davidcornu
13966241,Curl is C,512,mhasbini
15793473,Netflix Stole My VHS Cassette Photos for Its Stranger Things Boxed Set,780,johnhenry
13404758,Google and Facebook ad traffic is 90% useless,540,somid3
15739744,Show HN: Fruits and vegetables in season in your zip code,572,gabemart
14338328,Lyft and Waymo Reach Deal to Collaborate on Self-Driving Cars,719,josephpmay
15398550,Ask HN: Resources to learn blockchain and smart contracts?,526,dnt404-1
13399095,Ian's Shoelace Site,695,Tomte
15780530,Super Tiny Website Logos in SVG,510,edent
14269590,How Stripe teaches employees to code,539,p4lindromica
13769727,Operation Rosehub ? patching thousands of open-source projects,727,fhoffa
15240781,"EFF, ACLU Sue Over Warrantless Phone, Laptop Searches at U.S. Border",549,DiabloD3
13489100,Avoid Non-Microsoft Antivirus Software,859,bzbarsky
13717321,An Open Letter to the Uber Board and Investors,648,sdomino
14291412,Net neutrality is in jeopardy again,928,kungfudoi
13326535,Ask HN: Successful one-person online businesses?,800,mdoliwa
14373951,Sweden drops Julian Assange rape investigation,538,choult
15707956,Numpy: Plan for dropping Python 2.7 support,662,AndrewDucker
14763802,Using Deep Learning to Create Professional-Level Photographs,542,wsxiaoys
14639967,The Presence of One?s Own Smartphone Reduces Available Cognitive Capacity,707,cronjobber
15345483,"Open-Sourcing Vespa, Yahoo?s Data Processing and Serving Engine",512,mkagenius
14531578,Windows93 SP2,517,ivank
14537747,#c0ffee is the color,783,pavel_lishin
14170041,Replacing Disqus with GitHub Comments,534,indy
15908812,Show HN: Culture Queries ? The best questions to ask during your job interview,541,lynnetye
13573702,A DIY M&Ms and Skittles sorting machine,581,joeguilmette
14239194,Getting Started with Headless Chrome,657,uptown
15381886,Text Editor: Data Structures,664,LaSombra
15265507,We've failed: open access is winning and we must change our approach,626,mathgenius
