"Person","item"
86,"sausage"
86,"root vegetables"
86,"onions"
86,"yogurt"
86,"rolls/buns"
86,"brandy"
86,"detergent"
87,"coffee"
87,"newspapers"
88,"pork"
88,"other vegetables"
88,"whipped/sour cream"
89,"berries"
89,"yogurt"
90,"soda"
91,"berries"
92,"fruit/vegetable juice"
92,"salty snack"
92,"candles"
93,"citrus fruit"
93,"butter milk"
93,"yogurt"
93,"cream cheese "
94,"pork"
94,"hamburger meat"
94,"citrus fruit"
94,"berries"
94,"onions"
94,"whipped/sour cream"
94,"rice"
94,"coffee"
94,"chocolate"
95,"detergent"
96,"grapes"
96,"photo/film"
97,"sausage"
97,"sliced cheese"
97,"rolls/buns"
97,"brown bread"
97,"fruit/vegetable juice"
97,"canned beer"
97,"red/blush wine"
97,"waffles"
97,"shopping bags"
98,"chicken"
98,"hamburger meat"
98,"citrus fruit"
98,"tropical fruit"
98,"root vegetables"
98,"other vegetables"
98,"butter"
98,"pasta"
98,"oil"
98,"detergent"
99,"whole milk"
99,"yogurt"
99,"brown bread"
100,"citrus fruit"
100,"tropical fruit"
101,"soda"
101,"misc. beverages"
102,"sausage"
102,"pork"
102,"grapes"
102,"whole milk"
102,"rolls/buns"
102,"pastry"
102,"soda"
102,"specialty bar"
102,"bathroom cleaner"
103,"frankfurter"
103,"rolls/buns"
103,"bottled water"
104,"sausage"
104,"whole milk"
104,"yogurt"
104,"coffee"
104,"fruit/vegetable juice"
104,"bottled beer"
104,"softener"
104,"napkins"
104,"photo/film"
104,"shopping bags"
105,"soda"
106,"rolls/buns"
106,"fruit/vegetable juice"
107,"beef"
107,"citrus fruit"
107,"berries"
107,"root vegetables"
107,"brown bread"
107,"detergent"
108,"whole milk"
108,"whipped/sour cream"
108,"rolls/buns"
108,"soda"
108,"waffles"
108,"candy"
108,"cling film/bags"
109,"processed cheese"
110,"tropical fruit"
110,"pip fruit"
111,"frankfurter"
111,"sausage"
111,"root vegetables"
111,"other vegetables"
111,"rolls/buns"
111,"oil"
111,"pickled vegetables"
111,"bottled beer"
111,"chewing gum"
111,"dishes"
112,"packaged fruit/vegetables"
112,"bottled water"
113,"whole milk"
113,"dessert"
113,"frozen vegetables"
113,"rolls/buns"
113,"margarine"
113,"bottled water"
113,"red/blush wine"
113,"newspapers"
114,"berries"
114,"whipped/sour cream"
115,"citrus fruit"
115,"berries"
115,"UHT-milk"
115,"processed cheese"
116,"tropical fruit"
116,"whole milk"
116,"yogurt"
117,"hamburger meat"
117,"whole milk"
117,"frozen vegetables"
117,"rolls/buns"
117,"bottled beer"
117,"sparkling wine"
118,"hamburger meat"
118,"other vegetables"
118,"whole milk"
118,"frozen vegetables"
118,"domestic eggs"
118,"soda"
118,"dishes"
119,"whole milk"
119,"cream cheese "
119,"soda"
120,"fish"
120,"other vegetables"
120,"pastry"
120,"margarine"
120,"coffee"
120,"long life bakery product"
120,"male cosmetics"
120,"shopping bags"
121,"frankfurter"
121,"sausage"
121,"long life bakery product"
121,"waffles"
122,"packaged fruit/vegetables"
122,"dessert"
122,"semi-finished bread"
122,"canned beer"
123,"pastry"
123,"soda"
124,"other vegetables"
124,"red/blush wine"
125,"misc. beverages"
126,"frankfurter"
126,"sausage"
126,"citrus fruit"
126,"tropical fruit"
126,"pip fruit"
126,"whole milk"
126,"hard cheese"
126,"cream cheese "
126,"domestic eggs"
126,"rice"
126,"sugar"
126,"canned fruit"
126,"misc. beverages"
126,"fruit/vegetable juice"
126,"hygiene articles"
127,"sparkling wine"
128,"specialty bar"
129,"sausage"
129,"butter milk"
129,"rolls/buns"
130,"curd cheese"
131,"frankfurter"
131,"dessert"
132,"whole milk"
132,"yogurt"
132,"beverages"
132,"brown bread"
132,"shopping bags"
133,"newspapers"
134,"berries"
134,"soda"
135,"curd"
135,"flour"
135,"liquor (appetizer)"
136,"tropical fruit"
136,"other vegetables"
136,"coffee"
137,"soda"
138,"rolls/buns"
138,"Instant food products"
139,"canned beer"
140,"canned beer"
141,"frankfurter"
141,"sausage"
141,"whole milk"
141,"rolls/buns"
141,"margarine"
142,"other vegetables"
142,"misc. beverages"
142,"canned beer"
143,"whole milk"
143,"frozen vegetables"
144,"whole milk"
145,"citrus fruit"
145,"butter"
145,"cream cheese "
145,"white bread"
145,"oil"
145,"margarine"
145,"newspapers"
146,"frankfurter"
146,"rolls/buns"
147,"frankfurter"
147,"ham"
147,"pip fruit"
147,"other vegetables"
147,"whole milk"
147,"soft cheese"
147,"frozen vegetables"
147,"rolls/buns"
147,"sugar"
147,"baking powder"
148,"butter milk"
148,"yogurt"
148,"honey"
148,"soda"
148,"detergent"
149,"hamburger meat"
149,"citrus fruit"
149,"onions"
149,"rolls/buns"
149,"bottled water"
149,"dental care"
150,"pasta"
150,"popcorn"
151,"other vegetables"
151,"whole milk"
151,"meat spreads"
151,"cake bar"
151,"chocolate"
151,"shopping bags"
152,"sausage"
152,"pork"
152,"citrus fruit"
152,"dessert"
152,"white bread"
152,"dishes"
152,"candles"
153,"rolls/buns"
154,"grapes"
154,"other vegetables"
154,"curd"
154,"dessert"
154,"yogurt"
154,"napkins"
155,"root vegetables"
155,"other vegetables"
155,"whole milk"
155,"yogurt"
155,"beverages"
155,"soft cheese"
155,"frozen vegetables"
155,"fruit/vegetable juice"
155,"bottled beer"
156,"coffee"
156,"shopping bags"
157,"popcorn"
158,"whole milk"
158,"rolls/buns"
158,"sugar"
158,"bottled water"
158,"soda"
159,"tropical fruit"
159,"other vegetables"
159,"packaged fruit/vegetables"
159,"whole milk"
159,"snack products"
160,"beef"
160,"herbs"
160,"flour"
160,"cling film/bags"
160,"flower soil/fertilizer"
161,"whole milk"
161,"butter"
161,"dessert"
161,"rolls/buns"
162,"frankfurter"
162,"soda"
162,"chewing gum"
163,"tropical fruit"
163,"specialty cheese"
163,"bottled water"
164,"canned beer"
165,"finished products"
165,"other vegetables"
165,"frozen vegetables"
165,"bottled beer"
166,"beverages"
166,"soda"
167,"hamburger meat"
167,"root vegetables"
167,"whole milk"
168,"whole milk"
168,"pastry"
168,"long life bakery product"
169,"finished products"
169,"white wine"
169,"shopping bags"
170,"other vegetables"
171,"ham"
171,"tropical fruit"
171,"other vegetables"
171,"whole milk"
171,"white bread"
171,"brown bread"
171,"fruit/vegetable juice"
171,"bottled beer"
172,"other vegetables"
173,"curd"
173,"butter milk"
173,"cocoa drinks"
173,"salty snack"
173,"popcorn"
174,"bottled beer"
175,"curd"
175,"dessert"
175,"soda"
175,"salty snack"
175,"waffles"
175,"cake bar"
175,"chocolate"
175,"shopping bags"
176,"whole milk"
176,"cream cheese "
176,"cereals"
176,"dog food"
177,"whole milk"
177,"salt"
178,"dessert"
178,"ice cream"
179,"sausage"
179,"soft cheese"
179,"coffee"
180,"other vegetables"
180,"bottled water"
180,"waffles"
180,"dishes"
180,"shopping bags"
181,"ham"
181,"whole milk"
181,"rolls/buns"
182,"other vegetables"
182,"ice cream"
183,"other vegetables"
183,"bottled water"
184,"soda"
184,"bottled beer"
184,"white wine"
184,"prosecco"
185,"herbs"
185,"candy"
186,"frankfurter"
186,"ham"
186,"tropical fruit"
186,"pip fruit"
186,"root vegetables"
186,"other vegetables"
186,"whole milk"
186,"butter"
186,"curd"
186,"yogurt"
186,"whipped/sour cream"
186,"soft cheese"
186,"sliced cheese"
186,"cream cheese "
186,"frozen meals"
186,"frozen fish"
186,"domestic eggs"
186,"white bread"
186,"sugar"
186,"cereals"
186,"fruit/vegetable juice"
186,"bottled beer"
186,"waffles"
187,"rolls/buns"
187,"canned beer"
188,"curd"
188,"cream cheese "
188,"semi-finished bread"
188,"zwieback"
188,"cake bar"
188,"specialty bar"
188,"shopping bags"
189,"frankfurter"
189,"tropical fruit"
189,"whole milk"
189,"spread cheese"
189,"margarine"
189,"shopping bags"
190,"other vegetables"
191,"dog food"
192,"specialty bar"
193,"curd"
193,"salt"
193,"liquor (appetizer)"
193,"detergent"
193,"shopping bags"
194,"frankfurter"
194,"rolls/buns"
195,"soda"
196,"beef"
196,"berries"
196,"root vegetables"
196,"whole milk"
196,"dessert"
196,"spread cheese"
196,"brown bread"
197,"canned beer"
198,"pork"
198,"beef"
198,"pip fruit"
198,"herbs"
198,"spices"
199,"frankfurter"
199,"citrus fruit"
199,"UHT-milk"
199,"margarine"
199,"sugar"
200,"sausage"
200,"bottled beer"
200,"liquor (appetizer)"
201,"canned beer"
202,"specialty chocolate"
203,"curd"
203,"rolls/buns"
204,"canned beer"
205,"whole milk"
205,"bottled water"
205,"newspapers"
206,"rolls/buns"
206,"chewing gum"
207,"pork"
207,"root vegetables"
207,"other vegetables"
207,"whole milk"
207,"dishes"
208,"citrus fruit"
208,"pastry"
209,"pot plants"
210,"rolls/buns"
210,"pastry"
210,"soda"
211,"butter"
211,"yogurt"
211,"bottled water"
211,"soda"
211,"make up remover"
211,"hygiene articles"
212,"condensed milk"
212,"sugar"
212,"coffee"
212,"shopping bags"
213,"sausage"
213,"other vegetables"
213,"yogurt"
213,"soda"
213,"shopping bags"
214,"whole milk"
214,"beverages"
214,"UHT-milk"
214,"soda"
215,"sausage"
215,"pork"
215,"beef"
215,"whole milk"
215,"rolls/buns"
215,"margarine"
216,"beverages"
217,"beverages"
217,"specialty bar"
218,"bottled water"
218,"fruit/vegetable juice"
219,"newspapers"
220,"cleaner"
220,"female sanitary products"
221,"sausage"
221,"soda"
221,"newspapers"
221,"shopping bags"
222,"newspapers"
223,"sausage"
223,"beef"
223,"citrus fruit"
223,"other vegetables"
223,"whole milk"
223,"butter milk"
223,"whipped/sour cream"
223,"beverages"
223,"hard cheese"
223,"rolls/buns"
223,"dish cleaner"
223,"cookware"
224,"misc. beverages"
224,"newspapers"
225,"white wine"
226,"sausage"
226,"sliced cheese"
226,"rolls/buns"
226,"soda"
226,"canned beer"
226,"shopping bags"
227,"meat"
227,"curd"
227,"bottled beer"
227,"cake bar"
228,"frankfurter"
228,"meat"
228,"tropical fruit"
228,"onions"
228,"oil"
228,"baking powder"
228,"tea"
228,"cling film/bags"
229,"ice cream"
229,"rolls/buns"
229,"canned beer"
230,"canned beer"
231,"tropical fruit"
231,"berries"
231,"root vegetables"
231,"other vegetables"
231,"bottled water"
231,"shopping bags"
232,"meat"
232,"citrus fruit"
232,"other vegetables"
232,"curd"
232,"dessert"
232,"butter milk"
232,"beverages"
232,"cream cheese "
232,"rolls/buns"
232,"brown bread"
232,"tea"
232,"bottled water"
233,"whole milk"
233,"mustard"
233,"bottled water"
234,"sausage"
234,"beef"
234,"beverages"
234,"sliced cheese"
234,"rolls/buns"
234,"spices"
234,"house keeping products"
234,"flower (seeds)"
235,"frankfurter"
235,"sausage"
235,"root vegetables"
235,"butter"
235,"curd"
235,"sliced cheese"
235,"rolls/buns"
235,"salty snack"
235,"long life bakery product"
236,"meat"
236,"other vegetables"
236,"butter"
236,"rolls/buns"
237,"root vegetables"
237,"beverages"
237,"Instant food products"
237,"pickled vegetables"
237,"detergent"
238,"root vegetables"
238,"herbs"
238,"other vegetables"
238,"whole milk"
238,"sliced cheese"
238,"rolls/buns"
239,"whole milk"
239,"whipped/sour cream"
239,"semi-finished bread"
239,"margarine"
240,"citrus fruit"
240,"whole milk"
240,"curd"
240,"dessert"
240,"yogurt"
240,"whipped/sour cream"
240,"frozen dessert"
240,"rolls/buns"
240,"salt"
240,"sugar"
240,"cereals"
240,"canned vegetables"
240,"canned fish"
240,"skin care"
240,"hygiene articles"
240,"napkins"
241,"citrus fruit"
241,"curd"
241,"pastry"
241,"margarine"
241,"sugar"
241,"candy"
241,"newspapers"
242,"other vegetables"
242,"whole milk"
242,"bottled water"
242,"soda"
242,"misc. beverages"
242,"bottled beer"
242,"red/blush wine"
242,"napkins"
243,"citrus fruit"
243,"whole milk"
243,"rolls/buns"
244,"sausage"
244,"oil"
244,"hygiene articles"
244,"napkins"
245,"frankfurter"
245,"beef"
245,"hamburger meat"
245,"grapes"
245,"root vegetables"
245,"whole milk"
245,"butter"
245,"frozen dessert"
245,"potato products"
245,"bottled water"
245,"bottled beer"
246,"hard cheese"
246,"rolls/buns"
246,"bottled water"
246,"newspapers"
247,"cream cheese "
247,"rolls/buns"
247,"soda"
247,"chocolate"
248,"turkey"
248,"beef"
248,"frozen vegetables"
248,"dishes"
248,"photo/film"
249,"pork"
249,"other vegetables"
249,"whipped/sour cream"
249,"rolls/buns"
249,"soda"
249,"shopping bags"
250,"whole milk"
250,"beverages"
251,"rolls/buns"
251,"soda"
252,"sausage"
252,"pip fruit"
252,"whole milk"
252,"curd"
252,"yogurt"
252,"sliced cheese"
252,"rolls/buns"
252,"bottled water"
252,"hygiene articles"
253,"ice cream"
254,"liquor"
255,"pip fruit"
255,"other vegetables"
255,"fruit/vegetable juice"
256,"root vegetables"
256,"other vegetables"
256,"yogurt"
257,"soda"
258,"soda"
259,"sausage"
259,"citrus fruit"
259,"tropical fruit"
259,"other vegetables"
259,"whole milk"
259,"yogurt"
259,"rolls/buns"
259,"bottled water"
259,"soda"
259,"chocolate"
259,"newspapers"
260,"root vegetables"
260,"whole milk"
260,"pet care"
260,"detergent"
261,"pork"
261,"berries"
261,"root vegetables"
261,"other vegetables"
261,"pastry"
261,"specialty bar"
262,"pork"
263,"chocolate"
264,"fruit/vegetable juice"
265,"pickled vegetables"
265,"coffee"
266,"bottled water"
267,"frankfurter"
267,"sausage"
267,"butter"
267,"whipped/sour cream"
267,"rolls/buns"
267,"margarine"
267,"spices"
268,"tropical fruit"
268,"pip fruit"
268,"onions"
268,"other vegetables"
268,"whole milk"
268,"domestic eggs"
268,"sugar"
268,"soups"
268,"tea"
268,"soda"
268,"hygiene articles"
268,"napkins"
269,"canned beer"
270,"root vegetables"
271,"meat"
271,"citrus fruit"
271,"berries"
271,"root vegetables"
271,"whole milk"
271,"soda"
272,"frankfurter"
272,"rolls/buns"
272,"bottled water"
272,"fruit/vegetable juice"
272,"hygiene articles"
273,"tropical fruit"
273,"margarine"
273,"rum"
274,"tropical fruit"
274,"root vegetables"
274,"herbs"
274,"whole milk"
274,"butter milk"
274,"whipped/sour cream"
274,"flour"
274,"hygiene articles"
275,"citrus fruit"
275,"pip fruit"
275,"root vegetables"
275,"other vegetables"
275,"whole milk"
275,"cream cheese "
275,"domestic eggs"
275,"brown bread"
275,"margarine"
275,"baking powder"
275,"waffles"
276,"hamburger meat"
276,"other vegetables"
276,"whole milk"
276,"curd"
276,"yogurt"
276,"rolls/buns"
276,"pastry"
276,"semi-finished bread"
276,"margarine"
276,"bottled water"
276,"fruit/vegetable juice"
277,"chicken"
277,"pip fruit"
277,"other vegetables"
277,"whole milk"
277,"dessert"
277,"yogurt"
277,"whipped/sour cream"
277,"rolls/buns"
277,"pasta"
277,"soda"
277,"waffles"
278,"chicken"
278,"citrus fruit"
278,"tropical fruit"
278,"root vegetables"
278,"whole milk"
278,"frozen fish"
278,"rolls/buns"
279,"frankfurter"
279,"citrus fruit"
279,"onions"
279,"other vegetables"
279,"whole milk"
279,"rolls/buns"
279,"sugar"
279,"soda"
280,"canned beer"
281,"turkey"
281,"pip fruit"
281,"salad dressing"
281,"pastry"
282,"packaged fruit/vegetables"
282,"whole milk"
282,"curd"
282,"yogurt"
282,"domestic eggs"
282,"brown bread"
282,"mustard"
282,"pickled vegetables"
282,"bottled water"
282,"misc. beverages"
283,"pasta"
284,"citrus fruit"
284,"tropical fruit"
285,"sausage"
285,"whole milk"
285,"yogurt"
285,"rolls/buns"
285,"brown bread"
285,"pot plants"
286,"whole milk"
286,"frozen meals"
286,"pastry"
286,"fruit/vegetable juice"
286,"waffles"
287,"canned beer"
288,"citrus fruit"
288,"sugar"
288,"sauces"
289,"liquor (appetizer)"
290,"citrus fruit"
290,"other vegetables"
290,"rolls/buns"
290,"salty snack"
290,"shopping bags"
291,"sausage"
292,"chicken"
292,"other vegetables"
292,"whole milk"
292,"vinegar"
292,"oil"
292,"bottled water"
292,"canned beer"
292,"napkins"
292,"newspapers"
293,"hamburger meat"
293,"root vegetables"
293,"other vegetables"
293,"whole milk"
293,"yogurt"
293,"whipped/sour cream"
293,"specialty cheese"
293,"flour"
293,"margarine"
294,"sausage"
294,"pork"
294,"other vegetables"
294,"dessert"
294,"yogurt"
294,"oil"
294,"soda"
295,"beef"
295,"berries"
295,"root vegetables"
295,"whole milk"
295,"whipped/sour cream"
295,"abrasive cleaner"
296,"citrus fruit"
296,"packaged fruit/vegetables"
296,"yogurt"
296,"bottled water"
297,"UHT-milk"
297,"coffee"
298,"candy"
299,"newspapers"
300,"beef"
300,"citrus fruit"
300,"other vegetables"
300,"yogurt"
301,"sausage"
301,"rolls/buns"
302,"frankfurter"
302,"beef"
302,"root vegetables"
302,"curd"
302,"dessert"
302,"yogurt"
302,"soft cheese"
302,"rolls/buns"
302,"mustard"
302,"pickled vegetables"
302,"canned beer"
302,"hygiene articles"
302,"napkins"
303,"canned beer"
304,"bottled beer"
305,"onions"
305,"soda"
305,"chewing gum"
305,"chocolate"
305,"newspapers"
306,"tropical fruit"
306,"packaged fruit/vegetables"
306,"cream cheese "
306,"white bread"
306,"candy"
307,"bottled water"
307,"white wine"
308,"beef"
308,"white bread"
308,"pastry"
308,"pasta"
308,"soap"
309,"sausage"
309,"chicken"
309,"tropical fruit"
309,"root vegetables"
309,"whole milk"
309,"yogurt"
309,"candy"
309,"abrasive cleaner"
309,"cleaner"
310,"hair spray"
311,"chicken"
311,"whole milk"
311,"spices"
311,"long life bakery product"
311,"shopping bags"
312,"pork"
312,"citrus fruit"
312,"brown bread"
312,"pastry"
312,"sugar"
312,"cat food"
313,"ice cream"
314,"meat"
314,"hard cheese"
314,"bottled beer"
315,"other vegetables"
315,"yogurt"
315,"brown bread"
315,"instant coffee"
316,"bottled water"
316,"cake bar"
317,"tropical fruit"
317,"soda"
317,"salty snack"
318,"photo/film"
319,"sausage"
319,"citrus fruit"
319,"yogurt"
319,"coffee"
319,"soda"
319,"canned beer"
319,"dishes"
320,"grapes"
320,"root vegetables"
321,"domestic eggs"
321,"brown bread"
321,"photo/film"
322,"rolls/buns"
322,"canned fish"
322,"canned beer"
323,"tropical fruit"
323,"whole milk"
324,"chicken"
325,"frankfurter"
325,"other vegetables"
325,"yogurt"
325,"brown bread"
325,"bottled water"
326,"berries"
326,"root vegetables"
326,"other vegetables"
326,"curd"
326,"butter milk"
326,"cream cheese "
326,"roll products "
326,"margarine"
326,"misc. beverages"
326,"specialty chocolate"
326,"detergent"
327,"margarine"
327,"hygiene articles"
328,"tropical fruit"
328,"yogurt"
328,"rolls/buns"
328,"soda"
328,"shopping bags"
329,"ham"
329,"other vegetables"
329,"whipped/sour cream"
329,"hard cheese"
329,"rolls/buns"
329,"soda"
329,"misc. beverages"
329,"chocolate"
329,"candy"
330,"hamburger meat"
330,"white bread"
330,"salty snack"
331,"yogurt"
331,"mayonnaise"
331,"rolls/buns"
331,"soda"
331,"napkins"
332,"soda"
332,"specialty chocolate"
333,"yogurt"
334,"soda"
335,"bottled water"
336,"sausage"
336,"meat"
336,"hamburger meat"
336,"rubbing alcohol"
337,"citrus fruit"
337,"pip fruit"
337,"beverages"
337,"hard cheese"
337,"pet care"
337,"soda"
337,"fruit/vegetable juice"
337,"waffles"
338,"shopping bags"
339,"newspapers"
340,"frankfurter"
340,"other vegetables"
340,"whole milk"
340,"curd"
340,"frozen potato products"
340,"zwieback"
340,"specialty bar"
340,"dish cleaner"
341,"sausage"
341,"citrus fruit"
341,"whole milk"
341,"canned beer"
342,"frankfurter"
342,"rolls/buns"
343,"salt"
343,"salty snack"
343,"cookware"
344,"oil"
345,"curd"
345,"beverages"
345,"cream cheese "
345,"rolls/buns"
345,"pastry"
345,"soda"
345,"cake bar"
345,"chewing gum"
346,"other vegetables"
346,"butter"
346,"specialty chocolate"
347,"citrus fruit"
348,"frankfurter"
348,"whole milk"
348,"butter milk"
349,"root vegetables"
349,"whole milk"
349,"butter"
349,"processed cheese"
349,"mayonnaise"
349,"salty snack"
350,"tropical fruit"
350,"whole milk"
350,"frozen meals"
350,"bottled beer"
351,"beef"
351,"hamburger meat"
351,"pip fruit"
352,"berries"
352,"whipped/sour cream"
352,"cereals"
352,"waffles"
352,"shopping bags"
353,"canned beer"
354,"whipped/sour cream"
354,"canned beer"
354,"red/blush wine"
355,"root vegetables"
355,"domestic eggs"
355,"margarine"
355,"chocolate marshmallow"
355,"candy"
356,"whole milk"
356,"soda"
357,"beef"
358,"frozen vegetables"
359,"rolls/buns"
359,"bottled beer"
360,"whole milk"
360,"hygiene articles"
361,"whole milk"
362,"citrus fruit"
362,"whole milk"
362,"curd"
362,"soft cheese"
363,"pastry"
363,"fruit/vegetable juice"
364,"frankfurter"
364,"sausage"
364,"pork"
364,"pip fruit"
364,"butter"
364,"processed cheese"
364,"white bread"
364,"brown bread"
365,"tropical fruit"
365,"root vegetables"
365,"whole milk"
365,"whipped/sour cream"
365,"domestic eggs"
366,"frankfurter"
366,"sausage"
366,"root vegetables"
366,"yogurt"
366,"whipped/sour cream"
366,"pastry"
366,"napkins"
367,"berries"
367,"root vegetables"
367,"other vegetables"
367,"packaged fruit/vegetables"
367,"whole milk"
367,"curd"
367,"curd cheese"
367,"cat food"
367,"specialty bar"
367,"detergent"
368,"rolls/buns"
368,"brown bread"
368,"pastry"
368,"coffee"
368,"bottled beer"
369,"root vegetables"
369,"packaged fruit/vegetables"
369,"curd"
369,"dessert"
369,"frozen vegetables"
369,"specialty fat"
369,"coffee"
370,"yogurt"
371,"other vegetables"
371,"bottled water"
372,"berries"
372,"white bread"
373,"berries"
373,"coffee"
374,"other vegetables"
374,"butter milk"
374,"frozen meals"
374,"bottled water"
375,"rolls/buns"
375,"newspapers"
376,"ham"
376,"citrus fruit"
376,"whole milk"
376,"whipped/sour cream"
